canonical,asset_panel,variable,nobs,mean,std,skewness,kurtosis,min,max,min_max
Copper,DXY,HG=F,5263,0.00025879021305912813,0.01779560115057823,-0.6069348635974455,11.113634623968947,-0.251712046899755,0.1244371105177899,-0.25 / 0.12
DXY,EEM,DX-Y.NYB,5258,3.237782557024769e-05,0.004753881711372809,-0.071157781924772,2.0931435821937807,-0.0271689520257814,0.025237074170757,-0.03 / 0.03
EEM,DXY,EEM,5263,0.0002658410549423903,0.01739130709219749,0.03427851655585784,15.989527565573267,-0.1763334869182693,0.2051411135871486,-0.18 / 0.21
EUR/USD,DXY,EURUSD=X,5263,4.579937674412484e-06,0.0070310905208346665,0.5873956728906103,103.84689801342616,-0.1433236378744118,0.159631874406008,-0.14 / 0.16
GBP/USD,DXY,GBPUSD=X,5263,-6.937885323307477e-05,0.0058748480449618105,-0.6891263186340016,9.563723244112186,-0.0790847722880897,0.0348483202948787,-0.08 / 0.03
Gold,DXY,GC=F,5263,0.00044567333592809334,0.01156644905553022,-0.5443491584872594,7.114662318002734,-0.1206569177115754,0.0864316566603035,-0.12 / 0.09
S&P 500,DXY,^GSPC,5263,0.0003350886713175061,0.012097657011358873,-0.4770928439815858,13.215520799472968,-0.1276521974728174,0.1095719675953384,-0.13 / 0.11
TNX,DXY,^TNX,5263,3.899942442710536e-05,0.02573325125694007,0.20461855207891375,31.720852430575448,-0.3470090740656968,0.404796890846223,-0.35 / 0.40
USD/CAD,DXY,CAD=X,5263,2.7417359486391425e-05,0.005363186263780759,0.2018403466595928,3.5558328661738097,-0.0369460607432358,0.0359844155919337,-0.04 / 0.04
USD/JPY,EEM,JPY=X,5258,7.71548978994092e-05,0.007369589589693584,-0.587679849044524,109.70368060646548,-0.1684706181522538,0.1628851465249108,-0.17 / 0.16
VIX,EEM,^VIX,5258,0.00010134766122256423,0.07594528095995158,1.0375143279633994,6.524774229532649,-0.4424487591644147,0.7682450294663026,-0.44 / 0.77
WTI Oil,DXY,CL=F,5263,0.00024339235114265745,0.02622975983220697,0.0750678499442928,18.14033372022545,-0.2822061341074851,0.3196336300150674,-0.28 / 0.32
